from,to,distance_km,vehicle_type,fuel_type,traffic_level,road_type,co2_emission
Chennai,Goa,165,bus,petrol,low,highway,20.64
Madurai,Bangalore,2042,bike,petrol,high,rural,349.49
Ahmedabad,Hyderabad,1993,bike,diesel,low,rural,333.11
Hyderabad,Bhubaneswar,994,bus,electric,high,highway,47.06
Ahmedabad,Mumbai,746,car,petrol,high,rural,156.29
Mysore,Jaipur,1382,car,diesel,high,city,226.31
Pune,Mumbai,327,bus,diesel,high,city,49.93
Coimbatore,Visakhapatnam,1896,bike,petrol,high,highway,421.65
Kolkata,Mumbai,1022,bus,petrol,low,highway,185.42
Bhopal,Patna,1933,bike,electric,medium,highway,65.65
Mumbai,Chandigarh,1216,bus,petrol,medium,rural,103.48
Ranchi,Delhi,1230,bus,petrol,low,highway,151.95
Goa,Trivandrum,1554,bus,diesel,high,rural,267.21
Bhubaneswar,Madurai,969,bike,petrol,high,rural,194.49
Coimbatore,Mumbai,1466,car,electric,low,rural,32.88
Kolkata,Hyderabad,1259,bus,electric,medium,city,47.7
Bhopal,Visakhapatnam,1068,bike,diesel,high,city,181.84
Pune,Delhi,1969,bus,diesel,medium,rural,224.15
Mysore,Patna,949,car,diesel,low,highway,160.11
Trivandrum,Pune,1463,bus,petrol,medium,highway,255.41
Bhopal,Ahmedabad,1287,car,petrol,medium,highway,187.21
Mysore,Jaipur,154,bus,electric,medium,rural,4.44
Mumbai,Bhopal,1391,bike,diesel,low,city,150.15
Madurai,Indore,1628,bus,electric,low,city,56.54
Kolkata,Kochi,217,car,electric,low,city,8.58
Patna,Hyderabad,1058,car,diesel,low,highway,180.44
Madurai,Goa,1968,bike,electric,medium,highway,44.7
Pune,Mysore,1709,bike,electric,medium,city,56.54
Bhubaneswar,Kochi,670,bus,diesel,high,highway,140.4
Pune,Jaipur,381,bike,diesel,low,rural,65.24
Bangalore,Delhi,384,car,petrol,high,highway,44.27
Delhi,Mumbai,957,bus,electric,low,city,33.83
Ranchi,Trivandrum,1162,car,electric,high,rural,24.72
Goa,Delhi,632,bike,petrol,high,city,137.62
Hyderabad,Bangalore,355,bus,electric,high,highway,11.55
Visakhapatnam,Lucknow,1662,bike,diesel,medium,city,258.79
Jaipur,Goa,1637,bus,electric,low,rural,53.79
Chandigarh,Kochi,2016,bus,electric,medium,highway,47.88
Bangalore,Mysore,288,bike,electric,high,city,5.54
Coimbatore,Pune,1208,bike,petrol,high,rural,267.86
Nagpur,Mysore,1520,bus,petrol,high,rural,189.04
Madurai,Ahmedabad,378,bike,petrol,low,city,59.39
Pune,Mysore,922,bike,electric,medium,rural,28.35
Bhubaneswar,Lucknow,293,bike,electric,low,highway,10.8
Kolkata,Kochi,349,bus,petrol,high,rural,81.42
Visakhapatnam,Ahmedabad,646,bike,electric,medium,highway,24.91
Bhopal,Mumbai,1670,bus,electric,high,city,39.62
Bhopal,Kochi,654,bike,diesel,high,rural,88.68
Delhi,Goa,394,bus,diesel,medium,city,76.95
Nagpur,Trivandrum,1457,bike,electric,medium,rural,38.35
Bhopal,Coimbatore,1180,car,diesel,medium,city,116.21
Hyderabad,Goa,1399,car,petrol,low,rural,135.86
Coimbatore,Bhopal,1949,car,electric,high,rural,58.18
Mysore,Goa,1069,bike,diesel,high,rural,187.31
Bangalore,Mysore,1537,bike,electric,low,rural,54.32
Patna,Kolkata,1697,bike,petrol,high,rural,329.58
Patna,Chandigarh,967,bus,petrol,high,city,97.57
Chandigarh,Coimbatore,2086,car,electric,high,rural,53.76
Hyderabad,Visakhapatnam,1062,bus,diesel,high,highway,165.6
Pune,Mumbai,972,bike,electric,high,city,30.16
Mysore,Kolkata,301,bus,petrol,high,rural,41.7
Chennai,Bhopal,280,car,petrol,medium,highway,49.18
Trivandrum,Nagpur,889,bus,electric,high,city,39.46
Mysore,Delhi,1229,bus,diesel,medium,highway,192.6
Ahmedabad,Nagpur,1000,car,electric,low,rural,19.48
Delhi,Ahmedabad,1113,bus,diesel,high,rural,253.74
Nagpur,Hyderabad,2173,bike,diesel,high,city,491.36
Bangalore,Indore,1893,bike,diesel,medium,highway,306.44
Bhubaneswar,Mysore,1680,car,diesel,low,highway,188.06
Delhi,Jaipur,1864,bus,electric,medium,rural,68.38
Bhopal,Hyderabad,1049,bike,electric,high,rural,47.7
Lucknow,Mumbai,545,bike,electric,high,highway,14.64
Mumbai,Madurai,573,bike,diesel,high,highway,120.13
Chennai,Patna,1860,bike,petrol,low,highway,272.78
Pune,Bhubaneswar,593,bike,diesel,low,city,86.59
Trivandrum,Indore,776,bus,diesel,low,highway,71.8
Kochi,Bhubaneswar,1538,bus,petrol,high,highway,288.73
Bhopal,Ahmedabad,1859,bus,diesel,high,highway,365.02
Ahmedabad,Madurai,2109,bike,petrol,high,highway,499.27
Indore,Visakhapatnam,1071,car,electric,medium,city,30.45
Kochi,Bhubaneswar,701,bike,diesel,low,highway,74.51
Delhi,Bhubaneswar,2005,car,petrol,medium,highway,400.09
Chennai,Mysore,2199,car,electric,low,rural,83.05
Coimbatore,Ahmedabad,1061,car,electric,high,highway,48.05
Ahmedabad,Ranchi,337,bike,petrol,high,rural,51.66
Hyderabad,Chennai,302,bus,petrol,low,city,45.81
Mumbai,Kochi,1803,bus,electric,medium,rural,54.3
Nagpur,Bangalore,921,bus,diesel,medium,city,161.04
Chandigarh,Goa,238,bike,petrol,high,highway,48.91
Visakhapatnam,Mysore,1699,bike,electric,high,rural,79.94
Visakhapatnam,Trivandrum,1730,bike,diesel,high,city,354.26
Jaipur,Hyderabad,1472,bike,petrol,medium,rural,229.66
